county,precinct,office,district,party,candidate,votes
Alcona,Alcona Township 1,Registered Voters,,,,955
Alcona,Caledonia Township 1,Registered Voters,,,,931
Alcona,Curtis Township 1,Registered Voters,,,,1030
Alcona,Greenbush Township 1,Registered Voters,,,,1251
Alcona,Gustin Township 1,Registered Voters,,,,583
Alcona,Harrisville Township 1,Registered Voters,,,,1149
Alcona,Hawes Township 1,Registered Voters,,,,887
Alcona,Haynes Township 1,Registered Voters,,,,621
Alcona,Mikado Township 1,Registered Voters,,,,787
Alcona,Millen Township 1,Registered Voters,,,,352
Alcona,Mitchell Township 1,Registered Voters,,,,330
Alcona,Harrisville City 1 Ward 1,Registered Voters,,,,359
Alcona,Alcona Township 1,President,,REP,Jeb Bush,3
Alcona,Caledonia Township 1,President,,REP,Jeb Bush,0
Alcona,Curtis Township 1,President,,REP,Jeb Bush,3
Alcona,Greenbush Township 1,President,,REP,Jeb Bush,1
Alcona,Gustin Township 1,President,,REP,Jeb Bush,0
Alcona,Harrisville Township 1,President,,REP,Jeb Bush,0
Alcona,Hawes Township 1,President,,REP,Jeb Bush,1
Alcona,Haynes Township 1,President,,REP,Jeb Bush,0
Alcona,Mikado Township 1,President,,REP,Jeb Bush,3
Alcona,Millen Township 1,President,,REP,Jeb Bush,1
Alcona,Mitchell Township 1,President,,REP,Jeb Bush,0
Alcona,Harrisville City 1 Ward 1,President,,REP,Jeb Bush,1
Alcona,Alcona Township 1,President,,REP,Ben Carson,4
Alcona,Caledonia Township 1,President,,REP,Ben Carson,1
Alcona,Curtis Township 1,President,,REP,Ben Carson,5
Alcona,Greenbush Township 1,President,,REP,Ben Carson,5
Alcona,Gustin Township 1,President,,REP,Ben Carson,0
Alcona,Harrisville Township 1,President,,REP,Ben Carson,5
Alcona,Hawes Township 1,President,,REP,Ben Carson,1
Alcona,Haynes Township 1,President,,REP,Ben Carson,3
Alcona,Mikado Township 1,President,,REP,Ben Carson,1
Alcona,Millen Township 1,President,,REP,Ben Carson,1
