county,precinct,office,district,party,candidate,votes
Gratiot,Arcada Township Precinct 1,President,,DEM,Michael Bennet,0
Gratiot,Bethany Township Precinct 1,President,,DEM,Michael Bennet,1
Gratiot,City of Alma Precinct 1,President,,DEM,Michael Bennet,0
Gratiot,City of Alma Precinct 2,President,,DEM,Michael Bennet,0
Gratiot,City of Alma Precinct 3,President,,DEM,Michael Bennet,0
Gratiot,City of Ithaca Precinct 1,President,,DEM,Michael Bennet,0
Gratiot,City of St. Louis Precinct 1,President,,DEM,Michael Bennet,0
Gratiot,Elba Township Precinct 1,President,,DEM,Michael Bennet,0
Gratiot,Emerson Township Precinct 1,President,,DEM,Michael Bennet,0
Gratiot,Fulton Township Precinct 1,President,,DEM,Michael Bennet,1
Gratiot,Hamilton Township Precinct 1,President,,DEM,Michael Bennet,0
Gratiot,Lafayette Township Precinct 1,President,,DEM,Michael Bennet,0
Gratiot,New Haven Township Precinct 1,President,,DEM,Michael Bennet,0
Gratiot,Newark Township Precinct 1,President,,DEM,Michael Bennet,0
Gratiot,North Shade Township Precinct 1,President,,DEM,Michael Bennet,0
Gratiot,North Star Township Precinct 1,President,,DEM,Michael Bennet,0
Gratiot,Pine River Township Precinct 1,President,,DEM,Michael Bennet,0
Gratiot,Seville Township Precinct 1,President,,DEM,Michael Bennet,0
Gratiot,Sumner Township Precinct 1,President,,DEM,Michael Bennet,1
Gratiot,Washington Township Precinct 1,President,,DEM,Michael Bennet,0
Gratiot,Wheeler Township Precinct 1,President,,DEM,Michael Bennet,0
Gratiot,Arcada Township Precinct 1,President,,DEM,Joe Biden,117
Gratiot,Bethany Township Precinct 1,President,,DEM,Joe Biden,56
Gratiot,City of Alma Precinct 1,President,,DEM,Joe Biden,182
Gratiot,City of Alma Precinct 2,President,,DEM,Joe Biden,176
Gratiot,City of Alma Precinct 3,President,,DEM,Joe Biden,143
Gratiot,City of Ithaca Precinct 1,President,,DEM,Joe Biden,194
Gratiot,City of St. Louis Precinct 1,President,,DEM,Joe Biden,193
Gratiot,Elba Township Precinct 1,President,,DEM,Joe Biden,67
Gratiot,Emerson Township Precinct 1,President,,DEM,Joe Biden,46
Gratiot,Fulton Township Precinct 1,President,,DEM,Joe Biden,150
Gratiot,Hamilton Township Precinct 1,President,,DEM,Joe Biden,25
Gratiot,Lafayette Township Precinct 1,President,,DEM,Joe Biden,25
Gratiot,New Haven Township Precinct 1,President,,DEM,Joe Biden,46
Gratiot,Newark Township Precinct 1,President,,DEM,Joe Biden,48
Gratiot,North Shade Township Precinct 1,President,,DEM,Joe Biden,16
Gratiot,North Star Township Precinct 1,President,,DEM,Joe Biden,58
Gratiot,Pine River Township Precinct 1,President,,DEM,Joe Biden,173
Gratiot,Seville Township Precinct 1,President,,DEM,Joe Biden,101
Gratiot,Sumner Township Precinct 1,President,,DEM,Joe Biden,95
Gratiot,Washington Township Precinct 1,President,,DEM,Joe Biden,41
Gratiot,Wheeler Township Precinct 1,President,,DEM,Joe Biden,139
Gratiot,Arcada Township Precinct 1,President,,DEM,Michael R. Bloomberg,3
Gratiot,Bethany Township Precinct 1,President,,DEM,Michael R. Bloomberg,4
Gratiot,City of Alma Precinct 1,President,,DEM,Michael R. Bloomberg,7
Gratiot,City of Alma Precinct 2,President,,DEM,Michael R. Bloomberg,15
Gratiot,City of Alma Precinct 3,President,,DEM,Michael R. Bloomberg,1
Gratiot,City of Ithaca Precinct 1,President,,DEM,Michael R. Bloomberg,11
Gratiot,City of St. Louis Precinct 1,President,,DEM,Michael R. Bloomberg,12
Gratiot,Elba Township Precinct 1,President,,DEM,Michael R. Bloomberg,4
Gratiot,Emerson Township Precinct 1,President,,DEM,Michael R. Bloomberg,4
Gratiot,Fulton Township Precinct 1,President,,DEM,Michael R. Bloomberg,2
Gratiot,Hamilton Township Precinct 1,President,,DEM,Michael R. Bloomberg,0
Gratiot,Lafayette Township Precinct 1,President,,DEM,Michael R. Bloomberg,1
Gratiot,New Haven Township Precinct 1,President,,DEM,Michael R. Bloomberg,0
Gratiot,Newark Township Precinct 1,President,,DEM,Michael R. Bloomberg,3
Gratiot,North Shade Township Precinct 1,President,,DEM,Michael R. Bloomberg,0
Gratiot,North Star Township Precinct 1,President,,DEM,Michael R. Bloomberg,4
Gratiot,Pine River Township Precinct 1,President,,DEM,Michael R. Bloomberg,3
Gratiot,Seville Township Precinct 1,President,,DEM,Michael R. Bloomberg,6
Gratiot,Sumner Township Precinct 1,President,,DEM,Michael R. Bloomberg,6
Gratiot,Washington Township Precinct 1,President,,DEM,Michael R. Bloomberg,2
Gratiot,Wheeler Township Precinct 1,President,,DEM,Michael R. Bloomberg,3
Gratiot,Arcada Township Precinct 1,President,,DEM,Cory Booker,0
Gratiot,Bethany Township Precinct 1,President,,DEM,Cory Booker,1
Gratiot,City of Alma Precinct 1,President,,DEM,Cory Booker,0
Gratiot,City of Alma Precinct 2,President,,DEM,Cory Booker,0
Gratiot,City of Alma Precinct 3,President,,DEM,Cory Booker,0
Gratiot,City of Ithaca Precinct 1,President,,DEM,Cory Booker,0
Gratiot,City of St. Louis Precinct 1,President,,DEM,Cory Booker,0
Gratiot,Elba Township Precinct 1,President,,DEM,Cory Booker,0
Gratiot,Emerson Township Precinct 1,President,,DEM,Cory Booker,0
Gratiot,Fulton Township Precinct 1,President,,DEM,Cory Booker,0
Gratiot,Hamilton Township Precinct 1,President,,DEM,Cory Booker,0
Gratiot,Lafayette Township Precinct 1,President,,DEM,Cory Booker,0
Gratiot,New Haven Township Precinct 1,President,,DEM,Cory Booker,0
Gratiot,Newark Township Precinct 1,President,,DEM,Cory Booker,0
Gratiot,North Shade Township Precinct 1,President,,DEM,Cory Booker,0
Gratiot,North Star Township Precinct 1,President,,DEM,Cory Booker,0
Gratiot,Pine River Township Precinct 1,President,,DEM,Cory Booker,0
Gratiot,Seville Township Precinct 1,President,,DEM,Cory Booker,0
Gratiot,Sumner Township Precinct 1,President,,DEM,Cory Booker,0
Gratiot,Washington Township Precinct 1,President,,DEM,Cory Booker,0
Gratiot,Wheeler Township Precinct 1,President,,DEM,Cory Booker,0
Gratiot,Arcada Township Precinct 1,President,,DEM,Pete Buttigieg,2
Gratiot,Bethany Township Precinct 1,President,,DEM,Pete Buttigieg,4
Gratiot,City of Alma Precinct 1,President,,DEM,Pete Buttigieg,5
Gratiot,City of Alma Precinct 2,President,,DEM,Pete Buttigieg,2
Gratiot,City of Alma Precinct 3,President,,DEM,Pete Buttigieg,0
Gratiot,City of Ithaca Precinct 1,President,,DEM,Pete Buttigieg,4
Gratiot,City of St. Louis Precinct 1,President,,DEM,Pete Buttigieg,11
Gratiot,Elba Township Precinct 1,President,,DEM,Pete Buttigieg,3
Gratiot,Emerson Township Precinct 1,President,,DEM,Pete Buttigieg,0
Gratiot,Fulton Township Precinct 1,President,,DEM,Pete Buttigieg,2
Gratiot,Hamilton Township Precinct 1,President,,DEM,Pete Buttigieg,0
Gratiot,Lafayette Township Precinct 1,President,,DEM,Pete Buttigieg,0
Gratiot,New Haven Township Precinct 1,President,,DEM,Pete Buttigieg,1
Gratiot,Newark Township Precinct 1,President,,DEM,Pete Buttigieg,1
Gratiot,North Shade Township Precinct 1,President,,DEM,Pete Buttigieg,0
Gratiot,North Star Township Precinct 1,President,,DEM,Pete Buttigieg,0
Gratiot,Pine River Township Precinct 1,President,,DEM,Pete Buttigieg,2
Gratiot,Seville Township Precinct 1,President,,DEM,Pete Buttigieg,5
Gratiot,Sumner Township Precinct 1,President,,DEM,Pete Buttigieg,1
Gratiot,Washington Township Precinct 1,President,,DEM,Pete Buttigieg,1
Gratiot,Wheeler Township Precinct 1,President,,DEM,Pete Buttigieg,1
Gratiot,Arcada Township Precinct 1,President,,DEM,Julián Castro,0
Gratiot,Bethany Township Precinct 1,President,,DEM,Julián Castro,0
Gratiot,City of Alma Precinct 1,President,,DEM,Julián Castro,0
Gratiot,City of Alma Precinct 2,President,,DEM,Julián Castro,0
Gratiot,City of Alma Precinct 3,President,,DEM,Julián Castro,0
Gratiot,City of Ithaca Precinct 1,President,,DEM,Julián Castro,1
Gratiot,City of St. Louis Precinct 1,President,,DEM,Julián Castro,0
Gratiot,Elba Township Precinct 1,President,,DEM,Julián Castro,0
Gratiot,Emerson Township Precinct 1,President,,DEM,Julián Castro,0
Gratiot,Fulton Township Precinct 1,President,,DEM,Julián Castro,0
Gratiot,Hamilton Township Precinct 1,President,,DEM,Julián Castro,0
Gratiot,Lafayette Township Precinct 1,President,,DEM,Julián Castro,0
Gratiot,New Haven Township Precinct 1,President,,DEM,Julián Castro,0
Gratiot,Newark Township Precinct 1,President,,DEM,Julián Castro,0
Gratiot,North Shade Township Precinct 1,President,,DEM,Julián Castro,0
Gratiot,North Star Township Precinct 1,President,,DEM,Julián Castro,0
Gratiot,Pine River Township Precinct 1,President,,DEM,Julián Castro,0
Gratiot,Seville Township Precinct 1,President,,DEM,Julián Castro,0
Gratiot,Sumner Township Precinct 1,President,,DEM,Julián Castro,0
Gratiot,Washington Township Precinct 1,President,,DEM,Julián Castro,0
Gratiot,Wheeler Township Precinct 1,President,,DEM,Julián Castro,0
Gratiot,Arcada Township Precinct 1,President,,DEM,John Delaney,0
Gratiot,Bethany Township Precinct 1,President,,DEM,John Delaney,0
